"filename", "language", "JSON", "C#", "ASP.NET Razor", "CSS", "Markdown", "XML", "SQL", "comment", "blank", "total"
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\Authors\Update.razor", "ASP.NET Razor", 0, 0, 59, 0, 0, 0, 0, 0, 9, 68
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\Books\Index.razor", "ASP.NET Razor", 0, 0, 82, 0, 0, 0, 0, 0, 9, 91
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\Error.cshtml", "ASP.NET Razor", 0, 0, 36, 0, 0, 0, 0, 0, 7, 43
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\Error.cshtml.cs", "C#", 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\Index.razor", "ASP.NET Razor", 0, 0, 5, 0, 0, 0, 0, 0, 5, 10
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\Users\Login.razor", "ASP.NET Razor", 0, 0, 59, 0, 0, 0, 0, 0, 9, 68
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\Users\Logout.razor", "ASP.NET Razor", 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\Users\Register.razor", "ASP.NET Razor", 0, 0, 73, 0, 0, 0, 0, 0, 11, 84
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\_Host.cshtml", "ASP.NET Razor", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Pages\_Layout.cshtml", "ASP.NET Razor", 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Program.cs", "C#", 0, 31, 0, 0, 0, 0, 0, 3, 12, 46
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Properties\launchSettings.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Providers\ApiAuthenticationStateProvider.cs", "C#", 0, 56, 0, 0, 0, 0, 0, 0, 10, 66
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Services\Authentication\AuthenticationService.cs", "C#", 0, 32, 0, 0, 0, 0, 0, 2, 6, 40
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Services\Authentication\IAuthenticationService.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Services\AuthorService.cs", "C#", 0, 115, 0, 0, 0, 0, 0, 0, 19, 134
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Services\Base\BaseHttpService.cs", "C#", 0, 40, 0, 0, 0, 0, 0, 0, 8, 48
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Services\Base\Client.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Services\Base\IClient.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Services\Base\Response.cs", "C#", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Services\Base\ServiceClient.cs", "C#", 0, 1170, 0, 0, 0, 0, 0, 135, 248, 1553
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Services\BookService.cs", "C#", 0, 115, 0, 0, 0, 0, 0, 0, 19, 134
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Services\IAuthorService.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Services\IBookService.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Shared\MainLayout.razor", "ASP.NET Razor", 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Shared\MainLayout.razor.css", "CSS", 0, 0, 0, 58, 0, 0, 0, 0, 13, 71
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Shared\NavMenu.razor", "ASP.NET Razor", 0, 0, 61, 0, 0, 0, 0, 0, 5, 66
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Shared\NavMenu.razor.css", "CSS", 0, 0, 0, 50, 0, 0, 0, 1, 12, 63
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Shared\RedirectToLogin.razor", "ASP.NET Razor", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Shared\SurveyPrompt.razor", "ASP.NET Razor", 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\Static\Roles.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\_Imports.razor", "ASP.NET Razor", 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\appsettings.Development.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\appsettings.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\wwwroot\css\bootstrap\bootstrap.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 5, 0, 7
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\wwwroot\css\open-iconic\README.md", "Markdown", 0, 0, 0, 0, 70, 0, 0, 0, 45, 115
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\wwwroot\css\open-iconic\font\css\open-iconic-bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\wwwroot\css\open-iconic\font\fonts\open-iconic.svg", "XML", 0, 0, 0, 0, 0, 540, 0, 3, 1, 544
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreApp.Blazor.Server.UI\wwwroot\css\site.css", "CSS", 0, 0, 0, 52, 0, 0, 0, 0, 13, 65
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreDb\dbo\Tables\Authors.sql", "SQL", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\jhack\Source\Repos\C#\MessingAround\BookStoreApp\BookStoreDb\dbo\Tables\Books.sql", "SQL", 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"Total", "-", 112, 4037, 698, 163, 70, 586, 19, 171, 1130, 6986
